Personal/en,Persönlich/de,Culture/en,Kultur/de,Family/en,Familie/de,Self/en,Selbst/de,Work/en,Arbeit/de,Travel/en,Reisen/de,Live & Death/en,Leben & Tod/de,Past 12 months/en,Rückblick 12 Monate/de,Future 12 months/en,Vorausblick 12 Monate/de
To what degree do you feel that life is better elsewhere?,"Inwieweit neigst du dazu zu denken, dass das Leben woanders besser ist?",,,Who was the favourite family member when you were growing up?,Wer war als Kind der Liebling in deiner Familie?,"If you were to write a book, what would be the topic or subject?","Wenn du ein Buch schreiben müsstest, wovon würde es dann handeln?",What government action would make you consider leaving the country?,"Welche realistische Maßnahme der Regierung würde dich veranlassen, das Land zu verlassen?",,,,,What was the nicest compliment you received?,"Was war das schönste Kompliment, das du erhalten hast?",What are you least looking forward to?,Worauf freust du dich am wenigsten?
How susceptible are you to addiction?,Inwieweit neigst du zu Abhängigkeiten?,,,Describe an important teacher in your life who was not associated with school.,Beschreibe einen wichtigen Lehrer in deinem Leben - außerhalb der Schule.,Would you like to have faith in a higher power or God?,Würdest du gerne an eine höhere Macht oder Gott glauben?,Who has given you the most helpful advice about your career?,Wer hat dir die nützlichsten Karriereratschläge gegeben?,,,,,What was your best decision?,"Was war die beste Entscheidung, die du getroffen hast?",What do you want to achieve?,Was möchtest du erreichen?
Do you believe others consider you to be a good listener?,"Glaubst du, dass andere Menschen dich für einen guten Zuhörer halten?",,,,,Would you ever consider psychotherapy and what do you hope to gain from it?,Würdest du eine Psychotherapie in Betracht ziehen und was würdest du dir davon erhoffen?,Do you feel happier spending or saving money?,"Fühlst du dich glücklicher, wenn du Geld ausgibst oder sparst?",,,,,What surprised you the most?,Was hat dich besonders überrascht?,What would you like to improve?,In welchen Bereichen möchtest du dich verbessern?
Have you ever acted without complete integrity?,Wann hast du ohne 100%ige Integrität gehandelt?,,,,,Do you believe that others envy you or are jealous of you in any way?,Wirst du von anderen beneidet?,"If given the choice, would you prefer to be a psychotherapist or a doctor?",Würdest du lieber Psychotherapeut oder Arzt werden?,,,,,What was your biggest mistake?,Was war dein größter Fehler?,Who or what could serve as a new source of inspiration for you?,Wer oder was könnte dich als neue Inspirationsquelle dienen?
How well do you handle criticism?,Wie gut kannst du mit Kritik umgehen?,,,,,Is there a particular technique or method for loading a dishwasher effectively?,"Verwendest du eine spezielle Methode, um die Spülmaschine effektiv zu befüllen?",,,,,,,Which three people have influenced you the most?,Welche drei Personen haben dich besonders beeinflusst?,What is your greatest wish?,Was ist dein größter Wunsch?
,,,,,,What is the worst possible scenario or outcome that you can imagine?,"Was ist das schlimmstmögliche Szenario, das du dir vorstellen kannst?",,,,,,,What was your best day?,Was war dein schönster Tag?,What would make your year special?,Was würde dein Jahr besonders machen?
,,,,,,Who or what may have prevented you from achieving your full potential?,"Wer oder was hat dich daran gehindert, dein volles Potenzial zu entfalten?",,,,,,,Who would you like to thank?,Wem möchtest du danken?,What is the time ripe for?,Wofür ist die Zeit jetzt reif?
,,,,,,"Have you ever had a recurring dream, and if so, what was it?","Hattest du jemals einen wiederkehrenden Traum? Und wenn ja, welcher?",,,,,,,"What was the best book, movie, or TV series you read or watched?","Was war das beste Buch, der beste Film oder die beste TV-Serie, die du gelesen oder gesehen hast?",What would you like to be able to congratulate yourself for in exactly one year?,Wofür möchtest du dir selbst in genau einem Jahr gratulieren können?
,,,,,,Would you prefer to be more in tune with your body or your mind?,Würdest du gerne mehr in deinem Körper oder mehr in deinem Kopf leben?,,,,,,,What would you do differently with the knowledge you have today?,Was würdest du aufgrund deines heutigen Wissensstands anders machen?,What do you do for your health?,Was unternimmst du für deine Gesundheit?
,,,,,,When was the last time you laughed uncontrollably or threw your head back in laughter?,Wann hast du das letzte Mal Tränen oder richtig herzhaft gelacht und warum?,,,,,,,What are you most grateful for?,Wofür bist du am meisten dankbar?,To whom would you like to devote more time?,Wem möchtest du gerne mehr Zeit widmen?
,,,,,,Who has had a negative or harmful influence on you in the past?,Wer hatte in der Vergangenheit einen schlechten Einfluss auf dich?,,,,,,,,,,
,,,,,,Describe a simple pleasure that brings you happiness.,"Beschreibe ein einfaches Vergnügen, das dich glücklich macht.",,,,,,,,,,
,,,,,,Where do you feel most comfortable or at home?,Wo fühlst du dich am meisten zu Hause?,,,,,,,,,,
